company,site,address
AIRBUS SE,Airbus Russia,"2nd Floor, Building 10, 19/1 2nd Roshchinsky Proezd, Moscow 127055, Russia"
AISIN CORPORATION,AISIN CORPORATION Head Office and Factory,"2-1, Asahi-machi, Kariya, Aichi, 448-8650 JAPAN"
AISIN CORPORATION,"AISIN AUTOMOTIVE CASTING, LLC","4870 East Highway 552, London, KY 40744, U.S.A."
AISIN CORPORATION,"AISIN LIGHT METALS, LLC","10900 Redco Drive Marion, IL 62959, U.S.A."
AISIN CORPORATION,"AISIN AUTOMOTIVE CASTING MEXICO, S.A. DE C.V.",Carr. Silao - Guanajuato Km. 3.5
AISIN CORPORATION,"AISIN AUTOMOTIVE CASTING BRASIL, LTDA.","Rua Dr. Paulo de Morais, 600"
AISIN CORPORATION,AISIN EUROPE MANUFACTURING UK LTD.,Cwmdu Industrial Estate
AISIN CORPORATION,"AISIN EUROPE MANUFACTURING CZECH REPUBLIC, S.R.O.",Průmyslová zóna 160/16
AISIN CORPORATION,AISIN MANUFACTURING TURKEY A.Ş.,Organize Sanayi Bölgesi 6. Cadde No: 4
AISIN CORPORATION,"AISIN (CHINA) CO., LTD.","No. 999, Jinqiao Road, Jinqiao Export Processing Zone"
AISIN CORPORATION,"AISIN AUTOMOTIVE (WUXI) CO., LTD.","No. 328, Huishan Avenue"
AISIN CORPORATION,"AISIN AUTOMOTIVE (XUZHOU) CO., LTD.","No. 20, Xuzhou Industrial Development Zone Road"
AISIN CORPORATION,"AISIN AUTOMOTIVE (CHONGQING) CO., LTD.","No. 188, Wulongpo Economic Development Zone"
AISIN CORPORATION,"AISIN AUTOMOTIVE (WUHAN) CO., LTD.","No. 13, Dongfeng Avenue"
AISIN CORPORATION,"AISIN AUTOMOTIVE (TIANJIN) CO., LTD.","No. 1, Tianjin Economic Development Zone"
AISIN CORPORATION,"AISIN AUTOMOTIVE (CHANGCHUN) CO., LTD.","No. 31, Changchun Economic Development Zone"
AISIN CORPORATION,"AISIN AUTOMOTIVE (DALIAN) CO., LTD.","No. 2, Dalian Economic Development Zone"
AISIN CORPORATION,AISIN AUTOMOTIVE (INDIA) PVT. LTD.,"Plot No. 1-A, Sector-18"
AISIN CORPORATION,"AISIN AUTOMOTIVE MANUFACTURING (THAILAND) CO., LTD.","388 Moo 3, Rojana Industrial Estate"
AISIN CORPORATION,AISIN AUTOMOTIVE MANUFACTURING SDN. BHD.,"No. 26, Lorong Perindustrian 1"
AISIN CORPORATION,AISIN AUTOMOTIVE MANUFACTURING (PHILIPPINES) INC.,Laguna Technopark Inc.
AISIN CORPORATION,"AISIN AUTOMOTIVE MANUFACTURING VIETNAM CO., LTD.","Lot CN5, D14 Industrial Park"
AISIN CORPORATION,AISIN CORPORATION Head Office,"2-1, Asahi-machi, Kariya, Aichi, 448-8650 JAPAN"
AISIN CORPORATION,AISIN EUROPE S.A.,Avenue Louise 383
AISIN CORPORATION,"AISIN AMERICAS, INC.",24300 Northwestern Highway
AISIN CORPORATION,AISIN ASIA PTE. LTD.,10 Anson Road
AISIN CORPORATION,"AISIN CHINA INVESTMENT CO., LTD.","Room 1809, Tower A, Beijing Global Trade Center"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc. Headquarters","145 Broadway, Cambridge, MA 02142, USA"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies GmbH  Central Europe Headquarters,"Konrad-Zuse-Platz 1, 81829 München, Germany"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies Asia Pacific Headquarters,"19 Temasek Boulevard, 25-01 Suntec Tower 5, Singapore 038980"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies Japan Headquarters,"3-8-1 Nishi-Shinjuku, Shinjuku-ku, Tokyo 160-0023, Japan"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies China Headquarters,"31st Floor, Tower 2, IFC Beijing, 8 Lido East Road, Chaoyang District, Beijing 100120, China"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies Australia Headquarters,"Level 23, 60 Martin Place, Sydney NSW 2000, Australia"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies Canada Headquarters,"110 Yonge Street, Suite 2000, Toronto, ON M5C 1T4, Canada"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies India Headquarters,"Level 11 & 12, Tower 3, International Tech Park Bangalore (ITPB), Whitefield, Bangalore 560048, India"
AKAMAI TECHNOLOGIES INC.,Akamai Technologies Korea Headquarters,"15th Floor, Center Building, 172-14 Samsung-ro, Gangnam-gu, Seoul, Republic of Korea"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Boston Office","200 Clarendon Street, Boston, MA 02116, USA"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  San Francisco Office","55 Second Street, San Francisco, CA 94105, USA"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Austin Office","2200 Congress Avenue, Austin, TX 78701, USA"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Seattle Office","1400 6th Avenue, Suite 900, Seattle, WA 98101, USA"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  London Office","20 Fenchurch Street, London EC3M 3BY, United Kingdom"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Paris Office","112 Avenue des Champs-Élysées, 75008 Paris, France"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Frankfurt Office","Opernplatz 15, 60313 Frankfurt am Main, Germany"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Amsterdam Office","Herengracht 431, 1017 BT Amsterdam, Netherlands"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Stockholm Office","Klarabergsviadukten 70, 111 64 Stockholm, Sweden"
AKAMAI TECHNOLOGIES INC.,"Akamai Technologies, Inc.  Copenhagen Office","Kalvebod Brygge 33, 1560 København V"
AKBANK TURK ANONIM SIRKETI,Akbank Head Office,"Levent Caddesi, No: 75, Levent, Beşiktaş, Istanbul, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Technology Center,"Levent Caddesi, No: 75, Levent, Beşiktaş, Istanbul, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Operations Center,"Akbank İşletme Merkezi, Güzeltepe Mahallesi, Akbank Caddesi, No: 1, Maltepe, Istanbul, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Training Center,"Akbank Eğitim Merkezi, Esentepe Mahallesi, Bağdat Caddesi, No: 121, Şişli, Istanbul, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Call Center,"Akbank Çağrı Merkezi, Güzeltepe Mahallesi, Akbank Caddesi, No: 1, Maltepe, Istanbul, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Data Center,"Akbank Veri Merkezi, Güzeltepe Mahallesi, Akbank Caddesi, No: 1, Maltepe, Istanbul, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Ankara Main Office,"Tunus Caddesi, No: 21, Kavaklıdere, Ankara, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank İzmir Main Office,"Atatürk Caddesi, No: 168, Konak, İzmir, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Antalya Main Office,"Atatürk Caddesi, No: 129, Muratpaşa, Antalya, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Bursa Main Office,"Atatürk Caddesi, No: 100, Osmangazi, Bursa, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Adana Main Office,"İsmet İnönü Caddesi, No: 102, Seyhan, Adana, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Mersin Main Office,"Atatürk Caddesi, No: 123, Mezitli, Mersin, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Gaziantep Main Office,"Atatürk Caddesi, No: 134, Şahinbey, Gaziantep, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Kocaeli Main Office,"İsmet İnönü Caddesi, No: 115, İzmit, Kocaeli, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Konya Main Office,"Atatürk Caddesi, No: 145, Selçuklu, Konya, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Trabzon Main Office,"Atatürk Caddesi, No: 156, Ortahisar, Trabzon, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Diyarbakır Main Office,"Atatürk Caddesi, No: 167, Sur, Diyarbakır, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank Erzurum Main Office,"Atatürk Caddesi, No: 178, Yakutiye, Erzurum, Turkey"
AKBANK TURK ANONIM SIRKETI,Akbank AG,"Eschborner Landstraße 133, 60489 Frankfurt am Main, Germany"
AKBANK TURK ANONIM SIRKETI,Akbank AG Representative Office,"10 St Mary Axe, 12-14th Floors, 30 EC3M 3AE London, United Kingdom"
AKBANK TURK ANONIM SIRKETI,Akbank AG Representative Office,"100 Wall Street, Suite 1908, New York, NY 10005, United States"
AKBANK TURK ANONIM SIRKETI,Akbank AG Representative Office,"2211 Avenue of the Stars, Suite 1700, Los Angeles, CA 90067, United States"
AKBANK TURK ANONIM SIRKETI,Akbank AG Representative Office,"555 11th Street NW, Suite 400, Washington, DC 20004, United States"
AKBANK TURK ANONIM SIRKETI,Akbank AG Representative Office,"1000 Northside Parkway NW, Suite 300, Atlanta, GA 30338, United States"
AKBANK TURK ANONIM SIRKETI,Akbank AG Representative Office,"1221 McKinney Street, Suite 2000, Houston, TX 77010, United States"
AKER BP ASA,Headquarters,"Oksenøyveien 10, NO-1366 Lysaker, Norway"
AKER BP ASA,Stavanger Office,"Stavanger Jåttåvågveien 10, NO-4020 Stavanger, Norway"
AKER BP ASA,Trondheim Office,"Munkegata 26, Føniks, NO-7011 Trondheim, Norway"
AKER BP ASA,Harstad Office,"Storåkeren 11, NO-9411 Harstad, Norway"
AKER BP ASA,Sandnessjøen Office,"Øyvind Lambes vei 55, NO-8803 Sandnessjøen, Norway"
AKER BP ASA,Alvheim Field Center,"Alvheim FPSO, NO-4283 Tysvær, Norway"
AKER BP ASA,Ivar Aasen Field Center,"Ivar Aasen FPSO, NO-4283 Tysvær, Norway"
AKER BP ASA,Skarv Field Center,"Skarv FPSO, NO-4283 Tysvær, Norway"
AKER BP ASA,Edvard Grieg Field Center,"Edvard Grieg Platform, NO-4283 Tysvær, Norway"
AKER BP ASA,Ula Field Center,"Ula Platform, NO-4283 Tysvær, Norway"
AKER BP ASA,Valhall Field Center,"Valhall Platform, NO-4283 Tysvær, Norway"
AKER BP ASA,Johan Sverdrup Field,"Johan Sverdrup FPSO, NO-4283 Tysvær, Norway"
ALCON AG,Alcon AG Headquarters,"Route de lAcropole 19, 1211 Geneva, Switzerland"
ALCON AG,Alcon AsiaPacific Headquarters,"11 Tampines Central 1, 03-01 Tampines Grande, Singapore 529590"
ALCON AG,Alcon Europe Headquarters,"Route de lAcropole 19, 1211 Geneva, Switzerland"
ALCON AG,Alcon Americas Headquarters,"6201 South Freeway, Fort Worth, TX 76134, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,"Alexandria Real Estate Equities, Inc.","10996 Torreyana Rd, San Diego, CA 92121, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"79 13th St A, Charlestown, MA 02129, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"215 First St, Cambridge, MA 02142, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"790 Memorial Dr  100, Cambridge, MA 02139, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,"Alexandria Real Estate Equities, Inc.","19 Presidential Way, Woburn, MA 01801, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"1700 Owens St Suite 590, San Francisco, CA 94158, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate,"455 Mission Bay Boulevard South, San Francisco, CA 94158, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"400 E Jamie Ct 219, South San Francisco, CA 94080, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"450 E 29th St, New York, NY 10016, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,"Alexandria Real Estate Equities, Inc.","10996 Torreyana Rd, San Diego, CA 92121, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,"Alexandria Real Estate Equities, Inc.","400 Dexter Ave N Suite 200, Seattle, WA 98109, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"3005 1st Ave, Seattle, WA 98121, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"1102 Columbia St, Seattle, WA 98104, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Realty & Equities,"9800 Medical Center Dr, Rockville, MD 20850, USA"
ALEXANDRIA REAL ESTATE EQUITIES INC.,Alexandria Real Estate Equities,"5 Laboratory Dr, Research Triangle Park, NC 27709, USA"
ALIGN TECHNOLOGY INC.,Align Technology Headquarters,"3030 E Baseline Rd, Tempe, AZ 85282, USA"
ALIGN TECHNOLOGY INC.,Align Technology Americas Regional Headquarters,"3030 Slater Rd, Morrisville, NC 27560, USA"
ALIGN TECHNOLOGY INC.,"Align Technology Europe, Middle East, and Africa (EMEA) Regional Manufacturing Facility","ul. Legnicka 59A, 53-675 Wrocław, Poland"
ALIGN TECHNOLOGY INC.,Align Technology Mexico Manufacturing Facility,"Av. Ejército Nacional Mexicano 7305, Parque Industrial Río Bravo, 32795 Cd Juárez, Chih., Mexico"
ALIGN TECHNOLOGY INC.,Align Technology China Manufacturing Facility,"Ziyang City, Sichuan Province, China"
ALIGN TECHNOLOGY INC.,Align Technology Israel Research and Development Center,"3 HaAmal St, Herzliya Pituach 4612001, Israel"
ALIGN TECHNOLOGY INC.,Align Technology China Research and Development Center,"Ziyang City, Sichuan Province, China"
ALIMENTATION COUCHE-TARD INC.,Alimentation CoucheTard headquarters,"4204 Industriel Blvd., Laval, Québec, Canada"
ALIMENTATION COUCHE-TARD INC.,"CoucheTard, Central Canada",Ontario
ALIMENTATION COUCHE-TARD INC.,"CoucheTard, Eastern Canada",Quebec and Maritimes
ALIMENTATION COUCHE-TARD INC.,"CoucheTard, Western Canada","Northwest Territories, British Columbia, Alberta, Saskatchewan and Manitoba"
ALIMENTATION COUCHE-TARD INC.,"Circle K, United States",47 states in the United States
ALIMENTATION COUCHE-TARD INC.,"Circle K, Europe","Austria, Belgium, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, and the United Kingdom"
ALIMENTATION COUCHE-TARD INC.,"Circle K, Asia","China, Hong Kong, Indonesia, Japan, Malaysia, Philippines, Singapore, South Korea, and Thailand"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Corporate Headquarters,"2000 North Parkway Drive, Carmel, IN 46033, USA"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Americas,"2000 North Parkway Drive, Carmel, IN 46033, USA"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Europe,"Avenue du Bourget 29, 1140 Evere, Belgium"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Asia Pacific,"3102 Tower 5, Gateway Tower, 25 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Australia,"4/178 Queen Street, Waterloo, NSW 2017, Australia"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Brazil,"Rodovia Presidente Dutra, km 242,5 - Lote 10 - Distrito Industrial, Guarulhos - SP, 07222-300, Brazil"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Canada,"1525 Matheson Boulevard East, Mississauga, ON L4W 2S5, Canada"
ALLEGION PUBLIC LIMITED COMPANY,Allegion China,"Room 306, Block B, Building 3, No. 1800 Century Avenue, Pudong New Area, Shanghai 201203, China"
ALLEGION PUBLIC LIMITED COMPANY,Allegion France,"39 Rue de la Grande Chaume, 94140 Alfortville, France"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Germany,"Werner-von-Siemens-Straße 12, 58239 Schwerte, Germany"
ALLEGION PUBLIC LIMITED COMPANY,Allegion India,"3rd Floor, Building No. 5A, Phase - III, DLF Cyber City, Gurgaon - 122002, India"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Ireland,"Unit 12, Shannon Free Zone West, Shannon, Co. Clare, Ireland"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Italy,"Via Enrico Fermi, 25, 20089 Rozzano, MI, Italy"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Japan,"10F, Shiba 3-7-1 Bldg., Shiba 3-chome, Minato-ku, Tokyo, 105-0014, Japan"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Korea,"13F, S-Tower, 115, Teheran-ro, Gangnam-gu, Seoul, 06164, Republic of Korea"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Mexico,"Avenida Presidente Juárez No. 110, Piso 10, Colonia Centro, Delegación Cuauhtémoc, C.P. 06000, México, D.F."
ALLEGION PUBLIC LIMITED COMPANY,Allegion Netherlands,"Energieweg 16, 5144 NA Waalwijk, Netherlands"
ALLEGION PUBLIC LIMITED COMPANY,Allegion New Zealand,"15A Westhaven Drive, Westhaven, Auckland 0623, New Zealand"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Poland,"Ul. Puławska 430, 02-842 Warszawa, Poland"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Russia,"Business Park Comcity, 20/2 Leningradsky Prospekt, Moscow, 125167, Russia"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Singapore,"18 Tai Seng Street 90, 04-05/06, Singapore 534069"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Spain,"Calle de la Vía Làctea, 18, 28022 Madrid, Spain"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Sweden,"Hammarby Fabriksväg 29, 120 30 Stockholm, Sweden"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Switzerland,"Industriestrasse 2, 8712 Stäfa, Switzerland"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Taiwan,"12F, No. 336, Sec. 4, Ren-Ai Rd., Da-An Dist., Taipei City 106, Taiwan"
ALLEGION PUBLIC LIMITED COMPANY,Allegion Thailand,"7th Floor, The Offices at CentralWorld, 999/9 Rama I Road, Pathumwan, Bangkok 10330, Thailand"
ALLEGRO.EU,Allegro.eu,"1 Rue Hildegard Von Bingen, 1282 Gasperich Luxembourg"
ALLEGRO.EU,Arpeggio Films,"8 Rue des Lyonnais, 75005 Paris, France"
ALLIANT ENERGY CORPORATION,Alliant Energy Corporate Headquarters and Office Locations,"4902 N Biltmore Ln, Madison, WI 53718, USA"
ALLIANT ENERGY CORPORATION,Alliant Energy Corporate Headquarters and Office Locations,"1284 Xe Pl, Ames, IA 50014, USA"
ALLIANT ENERGY CORPORATION,Alliant Energy Corporate Headquarters and Office Locations,"201 S 7 St 2307, Clarinda, IA 51632, USA"
ALLIANT ENERGY CORPORATION,Alliant Energy Corporate Headquarters and Office Locations,"527 S Roosevelt Ave, Burlington, IA 52601, USA"
ALLIANT ENERGY CORPORATION,Alliant Energy Corporate Headquarters and Office Locations,"200 1st St SE, Cedar Rapids, IA 52401, USA"
ALLY FINANCIAL INC.,Ally Financial Corporate Headquarters,Ally Financial Inc.
ALLY FINANCIAL INC.,Ally Financial Office,200 W Civic Ctr Dr
ALLY FINANCIAL INC.,Ally Financial Office,2911 Lake Vista Dr
ALMARAI COMPANY,Almarai Dairy Farm,"Al Kharj, Riyadh, Saudi Arabia"
ALMARAI COMPANY,Almarai Poultry Farm,"Al Kharj, Riyadh, Saudi Arabia"
ALMARAI COMPANY,Almarai Bakery,"Al Kharj, Riyadh, Saudi Arabia"
ALMARAI COMPANY,Almarai Juice Plant,"Al Kharj, Riyadh, Saudi Arabia"
ALMARAI COMPANY,Almarai Infant Nutrition Plant,"Al Kharj, Riyadh, Saudi Arabia"
ALMARAI COMPANY,Almarai Dairy Farm,"Dammam, Saudi Arabia"
ALMARAI COMPANY,Almarai Poultry Farm,"Dammam, Saudi Arabia"
ALMARAI COMPANY,Almarai Bakery,"Dammam, Saudi Arabia"
ALMARAI COMPANY,Almarai Juice Plant,"Dammam, Saudi Arabia"
ALMARAI COMPANY,Almarai Infant Nutrition Plant,"Dammam, Saudi Arabia"
ALMARAI COMPANY,Almarai Dairy Farm,"Jeddah, Saudi Arabia"
ALMARAI COMPANY,Almarai Poultry Farm,"Jeddah, Saudi Arabia"
ALMARAI COMPANY,Almarai Bakery,"Jeddah, Saudi Arabia"
ALMARAI COMPANY,Almarai Juice Plant,"Jeddah, Saudi Arabia"
ALMARAI COMPANY,Almarai Infant Nutrition Plant,"Jeddah, Saudi Arabia"
ALMARAI COMPANY,Almarai Headquarters,"Riyadh, Saudi Arabia"
ALMARAI COMPANY,Almarai Dammam Office,"Dammam, Saudi Arabia"
ALMARAI COMPANY,Almarai Jeddah Office,"Jeddah, Saudi Arabia"
ALMARAI COMPANY,Almarai Dubai Office,"Dubai, United Arab Emirates"
ALMARAI COMPANY,Almarai Cairo Office,"Cairo, Egypt"
ALMARAI COMPANY,Almarai Amman Office,"Amman, Jordan"
ALMARAI COMPANY,Almarai Dairy Farm,Bahrain
ALMARAI COMPANY,Almarai Dairy Farm,Oman
ALMARAI COMPANY,Almarai Dairy Farm,Qatar
ALMARAI COMPANY,Almarai Dairy Farm,Kuwait
ALPHA SERVICES AND HOLDINGS S.A.,Alpha Services,"71 Rue Dulong, 75017 Paris, France"
ALPHA SERVICES AND HOLDINGS S.A.,Alpha Bank London Ltd,"Capital House, 85 King William St, London EC4N 7BL, UK"
ALPHA SERVICES AND HOLDINGS S.A.,Alpha Bank Luxembourg,"24 Bd Royal, 2449 Ville-Haute Luxembourg"
ALPHA SERVICES AND HOLDINGS S.A.,Alma Capital,"2 Av. de Montespan, 75016 Paris, France"
ALPHA SERVICES AND HOLDINGS S.A.,Alfa Asset Management (Europe) SA,"25 Rue du puits Romain, 8070 Bertrange, Luxembourg"
ALPHA SERVICES AND HOLDINGS S.A.,Alpha Credit,"Rue Montagne du Parc 8, Boîte 3, 1000 Bruxelles, Belgium"
ALPHA SERVICES AND HOLDINGS S.A.,AlphaLife,"Pesmazoglou 12, Athina 105 64, Greece"
ALPHA SERVICES AND HOLDINGS S.A.,Groupe Alpha,"20-24 Rue Martin Bernard, 75013 Paris, France"
ALPHABET INC.,Googleplex,"1600 Amphitheatre Parkway, Mountain View, CA 94043, USA"
ALPHABET INC.,Chelsea Market,"75 Ninth Avenue, New York, NY 10011, USA"
ALPHABET INC.,Kirkland Urban Center,"601 Kirkland Way, Kirkland, WA 98033, USA"
ALPHABET INC.,Pittsburgh Technology Center,"644 Liberty Avenue, Pittsburgh, PA 15222, USA"
ALPHABET INC.,Southlake Office Campus,"3000 Southlake Boulevard, Southlake, TX 76092, USA"
ALPHABET INC.,Boulder Office,"2445 Pearl Street, Boulder, CO 80302, USA"
ALPHABET INC.,Cambridge Innovation Center,"1 Broadway, Cambridge, MA 02142, USA"
ALPHABET INC.,Venice Beach Office,"1945 Lincoln Boulevard, Venice, CA 90291, USA"
ALPHABET INC.,Zürich Office,"Werdmühleplatz 1, 8001 Zürich, Switzerland"
ALPHABET INC.,Dublin Office,"Barrow Street, Dublin 2, Ireland"
ALPHABET INC.,London Office,"10-11 Fleet Street, London EC4A 2AA, UK"
ALPHABET INC.,Paris Office,"84-86 quai Branly, 75015 Paris, France"
ALPHABET INC.,Berlin Office,"Friedrichstraße 79, 10117 Berlin, Germany"
ALPHABET INC.,Madrid Office,"Calle de Orense, 32, 28020 Madrid, Spain"
ALPHABET INC.,Amsterdam Office,"Prinses Irenestraat 6, 1077 WT Amsterdam, Netherlands"
ALPHABET INC.,Stockholm Office,"Hammarby Fabriksväg 2B, 120 30 Stockholm, Sweden"
ALPHABET INC.,Moscow Office,"Ulitsa Pyatnitskaya, 47, Moscow, 125009, Russia"
ALPHABET INC.,Dubai Office,"Dubai Internet City, Al Barsha 1, Dubai, United Arab Emirates"
ALPHABET INC.,Sydney Office,"8/10 Barangaroo Avenue, Barangaroo, NSW 2000, Australia"
ALPHABET INC.,Singapore Office,"30 Pasir Panjang Road, 03-01 Mapletree Business City II, Singapore 117437"
ALPHABET INC.,Tokyo Office,"6-30-3 Ebisu, Shibuya-ku, Tokyo 150-0013, Japan"
ALPHABET INC.,Seoul Office,"12th Floor, WeWork Seoullo 1897, 1897 Seoullo-ro, Jung-gu, Seoul, Republic of Korea"
ALPHABET INC.,Beijing Office,"No. 57, Liangmaqiao Road, Chaoyang District, Beijing, 100125, China"
ALPHABET INC.,Shanghai Office,"No. 168, Shimen Road, Xuhui District, Shanghai, 200233, China"
ALPHABET INC.,Shenzhen Office,"No. 1001, Skyworth Building, 88 Shenzhen Boulevard, Futian District, Shenzhen, 518048, China"
ALPHABET INC.,Taipei Office,"11th Floor, 100 XinYi Road, Section 5, Xinyi District, Taipei, 110, Taiwan"
ALPHABET INC.,Hyderabad Office,"Plot No. 14, Phase II, HITEC City, Hyderabad, Telangana 500081, India"
ALPHABET INC.,Bengaluru Office,"3rd Floor, Brigade Tech Park, 135, Outer Ring Road, Marathahalli, Bengaluru, Karnataka 560103, India"
ALPHABET INC.,DeepMind,"57-61 Goswell Road, London EC1V 7EN, UK"
ALPHABET INC.,Calico,"201 Bayshore Boulevard, Mountain View, CA 94043, USA"
ALPHABET INC.,Waymo,"3965 Bohannon Drive, Menlo Park, CA 94025, USA"
ALPHABET INC.,Wing,"111 Baylands Avenue, Mountain View, CA 94043, USA"
ALPHABET INC.,Verily,"101 California Avenue, Mountain View, CA 94043, USA"
ALPHABET INC.,GV,"550 Bryant Street, San Francisco, CA 94107, USA"
ALPHABET INC.,CapitalG,"1601 California Street, San Francisco, CA 94109, USA"
ALPHABET INC.,X,"1259 El Camino Real, Menlo Park, CA 94025"
AMADEUS IT GROUP SOCIEDAD ANONIMA,Amadeus IT Group,"C. de Salvador de Madariaga, 1, 28027 Madrid, Spain"
AMADEUS IT GROUP SOCIEDAD ANONIMA,Amadeus Data Processing GmbH,"Berghamer Str. 6, 85435 Erding, Germany"
AMAZON.COM INC.,Amazon Corporate Headquarters,"410 Terry Ave N, Seattle, WA 98109, USA"
AMAZON.COM INC.,Amazon Lab126,"929 E Hillsdale Blvd, Sunnyvale, CA 94086, USA"
AMAZON.COM INC.,Amazon Web Services (AWS) Headquarters,"410 Terry Ave N, Seattle, WA 98109, USA"
AMAZON.COM INC.,Amazon Air Hub,"Cincinnati/Northern Kentucky International Airport, 1000 Terminal Dr, Hebron, KY 41048, USA"
AMAZON.COM INC.,Amazon Fresh Headquarters,"1200 12th Ave S, Seattle, WA 98144, USA"
AMAZON.COM INC.,Amazon Games Headquarters,"2727 California St, Mountain View, CA 94041, USA"
AMAZON.COM INC.,Amazon Robotics Headquarters,"1250 5th St, North Reading, MA 01864, USA"
AMAZON.COM INC.,Amazon MGM Studios,"10250 Santa Monica Blvd, Century City, CA 90067, USA"
AMAZON.COM INC.,Whole Foods Market Headquarters,"5500 Bee Cave Rd, Austin, TX 78746, USA"
AMAZON.COM INC.,A9.com,"2101 4th Ave, Seattle, WA 98121, USA"
AMAZON.COM INC.,AbeBooks,"2345 Westwood Blvd, Los Angeles, CA 90064, USA"
AMAZON.COM INC.,Alexa Internet,"1271 S California Ave, Palo Alto, CA 94306, USA"
AMAZON.COM INC.,Amazon Fulfillment Centers,Various locations worldwide
AMAZON.COM INC.,Amazon Books,Various locations worldwide
